date,open,high,low,close,volume
2018-01-01,100.0,100.6915,99.6253,100.5552,2362006.0
2018-01-02,100.3612,100.5617,98.5397,98.7435,2973445.0
2018-01-03,98.6352,100.2057,98.0534,100.0754,2802765.0
2018-01-04,100.2432,101.8428,99.7777,101.766,3908865.0
2018-01-05,101.7668,102.1956,98.2611,98.3394,2929045.0
2018-01-08,98.4279,98.7594,95.9886,96.122,6319698.0
2018-01-09,96.2924,96.3818,95.7223,96.3546,2335255.0
2018-01-10,96.259,96.5798,95.5293,95.8341,6596165.0
2018-01-11,96.0259,96.3683,95.7435,95.8212,4006902.0
2018-01-12,95.9173,96.0973,94.1961,94.4056,7180785.0
2018-01-15,94.0971,96.2606,93.431,95.8968,5616307.0
2018-01-16,96.2628,97.7557,96.1608,97.2373,9146734.0
2018-01-17,97.1084,97.5588,96.9857,97.3663,4958892.0
2018-01-18,96.94,99.3407,96.9055,99.3377,3655361.0
2018-01-19,99.063,100.6543,98.7696,100.1764,6302069.0
2018-01-22,99.9058,99.9536,98.5178,98.6855,6928830.0
2018-01-23,98.6992,99.354,98.5123,99.3456,4953159.0
2018-01-24,99.2736,99.4703,97.3854,97.6953,6037505.0
2018-01-25,97.6082,99.4101,97.4973,99.2369,5237790.0
2018-01-26,99.3996,99.5417,98.5573,99.1656,3752535.0
2018-01-29,99.2547,99.2591,98.4953,98.8588,3822084.0
2018-01-30,98.9414,99.1759,97.2544,97.6943,9166736.0
2018-01-31,97.8003,99.8789,97.6823,99.84,7078012.0
2018-02-01,100.0028,100.0237,99.3567,99.5844,1859350.0
2018-02-02,99.029,99.4251,98.8003,98.8509,9658716.0
2018-02-05,98.7556,99.1916,98.2508,98.2547,7408009.0
2018-02-06,97.6879,99.3658,97.4723,99.1976,1451482.0
2018-02-07,99.2071,100.6347,98.8028,99.8553,7550863.0
2018-02-08,99.854,100.6631,99.6021,100.6011,6306614.0
2018-02-09,100.8794,101.5303,100.7968,101.3849,9237938.0
2018-02-12,101.7035,105.7184,101.673,105.3051,5404342.0
2018-02-13,105.3616,105.5175,104.3904,104.5698,5667225.0
2018-02-14,104.4314,104.638,103.2638,103.6461,3832409.0
2018-02-15,103.7791,103.9027,102.076,102.1855,3894601.0
2018-02-16,102.0428,103.3538,101.7086,103.3185,6561291.0
2018-02-19,103.3182,105.6466,103.1673,105.4136,8449666.0
2018-02-20,105.6887,105.8353,105.1751,105.219,9016028.0
2018-02-21,105.0637,105.3778,103.6582,103.6881,7937292.0
2018-02-22,103.9091,104.2188,101.9516,102.2076,6487943.0
2018-02-23,102.3908,103.4954,102.3687,103.404,5502840.0
2018-02-26,103.1428,105.0755,102.753,104.7855,4056453.0
2018-02-27,105.0555,106.0208,105.018,105.8113,7910716.0
2018-02-28,106.0069,106.6164,104.3143,104.5935,3863304.0
2018-03-01,104.6217,105.2802,104.4672,105.0396,3410880.0
2018-03-02,104.8278,105.7087,104.7646,105.2731,8810788.0
2018-03-05,105.0338,106.0124,104.9161,105.6971,6305556.0
2018-03-06,105.5467,107.5643,105.393,107.3516,4187980.0
2018-03-07,107.5057,107.9543,107.3371,107.7933,8786651.0
2018-03-08,107.5207,109.143,107.234,109.1095,9664143.0
2018-03-09,109.2358,109.6254,108.7693,109.2573,3861860.0
2018-03-12,108.8984,110.0864,108.573,109.8337,5692751.0
2018-03-13,109.7744,111.4896,109.4667,111.0815,5351949.0
2018-03-14,111.1137,111.5001,107.9869,108.2804,7314843.0
2018-03-15,108.9809,109.9151,107.6646,107.689,9559403.0
2018-03-16,107.2966,107.4146,106.672,106.8166,5936762.0
2018-03-19,107.2326,107.4202,105.276,105.6367,8183906.0
2018-03-20,105.6786,105.8349,105.003,105.1423,6360430.0
2018-03-21,105.2567,108.5555,105.1069,107.9691,8983351.0
